UID,YSS Category (for shivam's reference),URLs for testing before redirection,YSS Old URL (Redirection FROM),YSS New URL (Redirection TO)
864576,OIS,https://test.yssofindia.org/teachings-library/prayer-embracing-our-world-with-compassion-and-understanding-by-preeti-mai,/blog/prayer-embracing-our-world-with-compassion-and-understanding,/teachings-library/prayer-embracing-our-world-with-compassion-and-understanding-by-preeti-mai
812964,OIS,https://test.yssofindia.org/teachings-library/becoming-humble-bearers-of-light-by-swami-ishtananda-giri,/blog/becoming-humble-bearers-of-light-by-swami-ishtananda-giri,/teachings-library/becoming-humble-bearers-of-light-by-swami-ishtananda-giri
870216,OIS,https://test.yssofindia.org/teachings-library/living-in-constant-remembrance-of-god-by-swami-nakulananda-giri,/blog/living-in-constant-remembrance-of-god-by-swami-nakulananda-giri,/teachings-library/living-in-constant-remembrance-of-god-by-swami-nakulananda-giri
871953,OIS,https://test.yssofindia.org/teachings-library/a-spirit-of-renewal-and-joy-by-usha-mai,/blog/a-spirit-of-renewal-and-joy,/teachings-library/a-spirit-of-renewal-and-joy-by-usha-mai
839629,OIS,https://test.yssofindia.org/teachings-library/faith-learning-to-express-the-unerring-intuition-within-us-by-swami-bhumananda-giri,/blog/faith-learning-to-express-the-unerring-intuition-within-us,/teachings-library/faith-learning-to-express-the-unerring-intuition-within-us-by-swami-bhumananda-giri
887620,OIS,https://test.yssofindia.org/teachings-library/lifes-challenges-opportunities-for-spiritual-progress-by-swami-prafullananda-giri,/blog/lifes-challenges-opportunities-for-spiritual-progress,/teachings-library/lifes-challenges-opportunities-for-spiritual-progress-by-swami-prafullananda-giri
851810,OIS,https://test.yssofindia.org/teachings-library/introspection-key-to-self-discovery-by-swami-govindananda-giri,/blog/introspection-key-to-self-discovery,/teachings-library/introspection-key-to-self-discovery-by-swami-govindananda-giri
849107,OIS,https://test.yssofindia.org/teachings-library/living-fearlessly-overcoming-the-causes-of-stress-and-worry-by-swami-jayananda-giri,/blog/living-fearlessly-overcoming-the-causes-of-stress-and-worry,/teachings-library/living-fearlessly-overcoming-the-causes-of-stress-and-worry-by-swami-jayananda-giri
836219,OIS,https://test.yssofindia.org/teachings-library/remembering-who-you-really-are-the-soul-by-brahmani-mai,/blog/remembering-who-you-really-are-the-soul,/teachings-library/remembering-who-you-really-are-the-soul-by-brahmani-mai
868264,OIS,https://test.yssofindia.org/teachings-library/how-to-spiritualize-your-everyday-experiences-by-swami-satyananda-giri,/blog/how-to-spiritualize-your-everyday-experiences,/teachings-library/how-to-spiritualize-your-everyday-experiences-by-swami-satyananda-giri
839384,OIS,https://test.yssofindia.org/teachings-library/receiving-gods-response-in-the-silence-of-meditation-by-swami-saralananda-giri,/blog/receiving-gods-response-in-the-silence-of-meditation,/teachings-library/receiving-gods-response-in-the-silence-of-meditation-by-swami-saralananda-giri
883811,OIS,https://test.yssofindia.org/teachings-library/spiritualizing-our-relationships-by-preeti-mai,/blog/spiritualizing-our-relationships,/teachings-library/spiritualizing-our-relationships-by-preeti-mai
813720,OIS,https://test.yssofindia.org/teachings-library/dharma-the-path-of-virtue-that-leads-to-god-by-swami-vishwananda-giri,/blog/dharma-the-path-of-virtue-that-leads-to-god,/teachings-library/dharma-the-path-of-virtue-that-leads-to-god-by-swami-vishwananda-giri
839167,OIS,https://test.yssofindia.org/teachings-library/change-your-thoughts-change-your-life-by-swami-bhumananda-giri,/blog/change-your-thoughts-change-your-life,/teachings-library/change-your-thoughts-change-your-life-by-swami-bhumananda-giri
816789,OIS,https://test.yssofindia.org/teachings-library/there-is-no-death-by-swami-prafullananda-giri,/blog/there-is-no-death,/teachings-library/there-is-no-death-by-swami-prafullananda-giri
873888,OIS,https://test.yssofindia.org/teachings-library/embraced-in-gods-love-the-guru-disciple-relationship-by-bhakti-mai,/blog/embraced-in-gods-love-the-guru-disciple-relationship,/teachings-library/embraced-in-gods-love-the-guru-disciple-relationship-by-bhakti-mai
884191,OIS,https://test.yssofindia.org/teachings-library/faith-a-cornerstone-of-the-spiritual-life-by-swami-anilananda-giri,/blog/faith-a-cornerstone-of-spiritual-living,/teachings-library/faith-a-cornerstone-of-the-spiritual-life-by-swami-anilananda-giri
819088,OIS,https://test.yssofindia.org/teachings-library/living-a-balanced-life-in-a-complex-world-by-swami-jayananda-giri,/blog/living-a-balanced-life-in-a-complex-world,/teachings-library/living-a-balanced-life-in-a-complex-world-by-swami-jayananda-giri
882917,OIS,https://test.yssofindia.org/teachings-library/are-we-letting-lifes-circumstances-control-us-by-swami-sevananda-giri,/blog/are-we-letting-lifes-circumstances-control-us,/teachings-library/are-we-letting-lifes-circumstances-control-us-by-swami-sevananda-giri
856090,OIS,https://test.yssofindia.org/teachings-library/service-the-power-of-love-in-action-by-swami-ritananda-giri,/blog/service-the-power-of-love-in-action,/teachings-library/service-the-power-of-love-in-action-by-swami-ritananda-giri
833863,OIS,https://test.yssofindia.org/teachings-library/how-to-develop-dynamic-will-power-by-ranjana-mai,/blog/how-to-develop-dynamic-will-power,/teachings-library/how-to-develop-dynamic-will-power-by-ranjana-mai
856412,OIS,https://test.yssofindia.org/teachings-library/let-every-day-be-christmas-by-sri-sri-daya-mata,/blog/let-every-day-be-christmas-by-sri-sri-daya-mata,/teachings-library/let-every-day-be-christmas-by-sri-sri-daya-mata
